,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
67,0,0,0,1,1,3,5,4,2,2,2,2,2,2,2,2
68,0,0,0,1,1,3,5,5,4,0,0,0,0,0,0,0
69,0,0,0,1,1,3,5,5,4,2,2,2,2,2,2,3
70,0,0,0,1,1,3,5,5,4,2,2,2,2,2,2,2
71,0,0,0,1,1,3,5,5,5,4,0,0,0,0,0,0
72,0,0,0,1,1,3,5,5,5,4,2,2,2,2,2,2
73,0,0,0,1,1,3,5,5,5,5,4,0,0,0,0,0
74,0,0,0,1,1,3,5,5,5,5,4,2,2,2,2,2
75,0,0,0,1,1,3,5,5,5,5,5,4,0,0,0,0
76,0,0,0,1,1,3,5,5,5,5,5,4,2,2,2,2
77,0,0,0,1,1,3,5,5,5,5,5,5,4,0,0,0
78,0,0,0,1,1,3,5,5,5,5,5,5,4,2,2,2
79,0,0,0,1,1,3,5,5,5,5,5,5,5,4,0,0
80,0,0,0,1,1,3,5,5,5,5,5,5,5,4,2,2
81,0,0,0,1,1,3,5,5,5,5,5,5,5,5,4,0
82,0,0,0,1,1,3,5,5,5,5,5,5,5,5,4,2
83,0,0,0,1,1,3,5,5,5,5,5,5,5,5,5,4
84,0,0,0,1,1,3,5,5,5,5,5,5,5,5,5,5
85,0,0,0,0,1,1,3,5,4,0,0,0,0,0,0,0
86,0,0,0,0,1,1,3,5,4,2,2,2,2,2,2,3
87,0,0,0,0,1,1,3,5,4,2,2,2,2,2,2,2
88,0,0,0,0,1,1,3,5,5,4,0,0,0,0,0,0
89,0,0,0,0,1,1,3,5,5,4,2,2,2,2,2,2
90,0,0,0,0,1,1,3,5,5,5,4,0,0,0,0,0
91,0,0,0,0,1,1,3,5,5,5,4,2,2,2,2,2
92,0,0,0,0,1,1,3,5,5,5,5,4,0,0,0,0
93,0,0,0,0,1,1,3,5,5,5,5,4,2,2,2,2
94,0,0,0,0,1,1,3,5,5,5,5,5,4,0,0,0
95,0,0,0,0,1,1,3,5,5,5,5,5,4,2,2,2
96,0,0,0,0,1,1,3,5,5,5,5,5,5,4,0,0
97,0,0,0,0,1,1,3,5,5,5,5,5,5,4,2,2
98,0,0,0,0,1,1,3,5,5,5,5,5,5,5,4,0
99,0,0,0,0,1,1,3,5,5,5,5,5,5,5,4,2
100,0,0,0,0,1,1,3,5,5,5,5,5,5,5,5,4
101,0,0,0,0,1,1,3,5,5,5,5,5,5,5,5,5
102,0,0,0,0,0,1,1,3,5,4,0,0,0,0,0,0
103,0,0,0,0,0,1,1,3,5,4,2,2,2,2,2,2
104,0,0,0,0,0,1,1,3,5,5,4,0,0,0,0,0
105,0,0,0,0,0,1,1,3,5,5,4,2,2,2,2,2
106,0,0,0,0,0,1,1,3,5,5,5,4,0,0,0,0
107,0,0,0,0,0,1,1,3,5,5,5,4,2,2,2,2
108,0,0,0,0,0,1,1,3,5,5,5,5,4,0,0,0
109,0,0,0,0,0,1,1,3,5,5,5,5,4,2,2,2
110,0,0,0,0,0,1,1,3,5,5,5,5,5,4,0,0
111,0,0,0,0,0,1,1,3,5,5,5,5,5,4,2,2
112,0,0,0,0,0,1,1,3,5,5,5,5,5,5,4,0
113,0,0,0,0,0,1,1,3,5,5,5,5,5,5,4,2
114,0,0,0,0,0,1,1,3,5,5,5,5,5,5,5,4
115,0,0,0,0,0,1,1,3,5,5,5,5,5,5,5,5
116,0,0,0,0,0,0,1,1,3,5,4,0,0,0,0,0
117,0,0,0,0,0,0,1,1,3,5,4,2,2,2,2,2
118,0,0,0,0,0,0,1,1,3,5,5,4,0,0,0,0
119,0,0,0,0,0,0,1,1,3,5,5,4,2,2,2,2
120,0,0,0,0,0,0,1,1,3,5,5,5,4,0,0,0
121,0,0,0,0,0,0,1,1,3,5,5,5,4,2,2,2
122,0,0,0,0,0,0,1,1,3,5,5,5,5,4,0,0
123,0,0,0,0,0,0,1,1,3,5,5,5,5,4,2,2
124,0,0,0,0,0,0,1,1,3,5,5,5,5,5,4,0
125,0,0,0,0,0,0,1,1,3,5,5,5,5,5,4,2
126,0,0,0,0,0,0,1,1,3,5,5,5,5,5,5,4
127,0,0,0,0,0,0,1,1,3,5,5,5,5,5,5,5
128,0,0,0,0,0,0,0,1,1,3,5,4,0,0,0,0
129,0,0,0,0,0,0,0,1,1,3,5,4,2,2,2,2
130,0,0,0,0,0,0,0,1,1,3,5,5,4,0,0,0
131,0,0,0,0,0,0,0,1,1,3,5,5,4,2,2,2
132,0,0,0,0,0,0,0,1,1,3,5,5,5,4,0,0
133,0,0,0,0,0,0,0,1,1,3,5,5,5,4,2,2
134,0,0,0,0,0,0,0,1,1,3,5,5,5,5,4,0
135,0,0,0,0,0,0,0,1,1,3,5,5,5,5,4,2
136,0,0,0,0,0,0,0,1,1,3,5,5,5,5,5,4
137,0,0,0,0,0,0,0,1,1,3,5,5,5,5,5,5
138,0,0,0,0,0,0,0,0,1,1,3,5,4,0,0,0
