,latitude,longitude,so,thetao
2022-06-01 18:00:00,36.520832,-2.458332,37.08839,20.209494
2022-06-01 19:00:00,36.520832,-2.458332,37.089684,20.132465
2022-06-01 20:00:00,36.520832,-2.458332,37.089863,20.04885
2022-06-01 21:00:00,36.520832,-2.458332,37.090088,19.966717
2022-06-01 22:00:00,36.520832,-2.458332,37.091766,19.881037
2022-06-01 23:00:00,36.520832,-2.458332,37.09524,19.787886
2022-06-02 00:00:00,36.520832,-2.458332,37.08493,19.684124
2022-06-02 01:00:00,36.520832,-2.458332,37.091896,19.594807
2022-06-02 02:00:00,36.520832,-2.458332,37.09979,19.517067
2022-06-02 03:00:00,36.520832,-2.458332,37.10843,19.447214
2022-06-02 04:00:00,36.520832,-2.458332,37.11791,19.37962
2022-06-02 05:00:00,36.520832,-2.458332,37.12778,19.315048
2022-06-02 06:00:00,36.520832,-2.458332,37.136734,19.26563
2022-06-02 07:00:00,36.520832,-2.458332,37.143436,19.238834
2022-06-02 08:00:00,36.520832,-2.458332,37.147972,19.233097
2022-06-02 09:00:00,36.520832,-2.458332,37.15148,19.228514
2022-06-02 10:00:00,36.520832,-2.458332,37.156105,19.204765
2022-06-02 11:00:00,36.520832,-2.458332,37.1642,19.159327
2022-06-02 12:00:00,36.520832,-2.458332,37.176342,19.097084
2022-06-02 13:00:00,36.520832,-2.458332,37.192497,19.042192
2022-06-02 14:00:00,36.520832,-2.458332,37.211647,19.003464
2022-06-02 15:00:00,36.520832,-2.458332,37.231457,18.976208
2022-06-02 16:00:00,36.520832,-2.458332,37.249878,18.94338
2022-06-02 17:00:00,36.520832,-2.458332,37.265915,18.890396
2022-06-02 18:00:00,36.520832,-2.458332,37.278946,18.81769
2022-06-02 19:00:00,36.520832,-2.458332,37.288586,18.738182
2022-06-02 20:00:00,36.520832,-2.458332,37.293446,18.664705
2022-06-02 21:00:00,36.520832,-2.458332,37.292645,18.598555
2022-06-02 22:00:00,36.520832,-2.458332,37.290913,18.560253
2022-06-02 23:00:00,36.520832,-2.458332,37.289284,18.550814
2022-06-03 00:00:00,36.520832,-2.458332,37.31981,18.316425
2022-06-03 01:00:00,36.520832,-2.458332,37.307873,18.330837
2022-06-03 02:00:00,36.520832,-2.458332,37.302696,18.347624
2022-06-03 03:00:00,36.520832,-2.458332,37.297527,18.353493
2022-06-03 04:00:00,36.520832,-2.458332,37.294453,18.350292
2022-06-03 05:00:00,36.520832,-2.458332,37.294033,18.342766
2022-06-03 06:00:00,36.520832,-2.458332,37.295628,18.338358
2022-06-03 07:00:00,36.520832,-2.458332,37.298046,18.339998
2022-06-03 08:00:00,36.520832,-2.458332,37.301243,18.346481
2022-06-03 09:00:00,36.520832,-2.458332,37.30702,18.369024
2022-06-03 10:00:00,36.520832,-2.458332,37.317142,18.396364
2022-06-03 11:00:00,36.520832,-2.458332,37.33038,18.406796
2022-06-03 12:00:00,36.520832,-2.458332,37.345108,18.407785
2022-06-03 13:00:00,36.520832,-2.458332,37.35808,18.405285
2022-06-03 14:00:00,36.520832,-2.458332,37.366714,18.39621
2022-06-03 15:00:00,36.520832,-2.458332,37.370728,18.376118
2022-06-03 16:00:00,36.520832,-2.458332,37.37149,18.35659
2022-06-03 17:00:00,36.520832,-2.458332,37.37089,18.347586
2022-06-03 18:00:00,36.520832,-2.458332,37.369488,18.341301
2022-06-03 19:00:00,36.520832,-2.458332,37.367744,18.327873
2022-06-03 20:00:00,36.520832,-2.458332,37.36636,18.305618
2022-06-03 21:00:00,36.520832,-2.458332,37.36744,18.282276
2022-06-03 22:00:00,36.520832,-2.458332,37.371178,18.254534
2022-06-03 23:00:00,36.520832,-2.458332,37.376,18.223288
2022-06-04 00:00:00,36.520832,-2.458332,37.37761,18.192509
2022-06-04 01:00:00,36.520832,-2.458332,37.3851,18.165646
2022-06-04 02:00:00,36.520832,-2.458332,37.390797,18.141752
2022-06-04 03:00:00,36.520832,-2.458332,37.395126,18.119871
2022-06-04 04:00:00,36.520832,-2.458332,37.397892,18.101578
2022-06-04 05:00:00,36.520832,-2.458332,37.39917,18.090292
2022-06-04 06:00:00,36.520832,-2.458332,37.399216,18.092478
2022-06-04 07:00:00,36.520832,-2.458332,37.39874,18.108965
2022-06-04 08:00:00,36.520832,-2.458332,37.398163,18.136963
2022-06-04 09:00:00,36.520832,-2.458332,37.397896,18.175093
2022-06-04 10:00:00,36.520832,-2.458332,37.398014,18.224968
2022-06-04 11:00:00,36.520832,-2.458332,37.39858,18.277388
2022-06-04 12:00:00,36.520832,-2.458332,37.399734,18.324713
