time,Tts_h_t,Tts_h_m,Tts_h_b,Tts_c_t,Tts_c_m,Tts_c_b,Tamb,m_ts_src,FT-AQU-100,Tts_t_in,Tts_b_in,m_ts_dis,TT-AQU-106,TT-SF-007,ZT-AQU-TCV102
2023-07-08 10:23:00,90.74755666666667,87.08671666666667,83.71527999999999,83.92999666666667,84.35291000000001,84.5631,31.999103333333334,135.63613333333333,0.33266420666666663,92.41504333333334,43.53969333333334,0.009421539,76.87301666666667,83.42072,99.89679666666666
2023-07-08 10:23:30,90.81076333333334,87.41535,83.71524666666666,83.92503666666667,84.34883333333333,84.54296000000001,32.02621,135.72920000000002,0.013147431,92.42672999999999,43.62457333333334,0.009313964666666667,76.38025333333333,83.37045333333334,100.0
2023-07-08 10:24:00,90.82585333333333,87.51506333333333,83.71982666666666,83.92034666666667,84.34975666666668,84.53766,31.990673333333334,136.04716666666667,0.010597517,92.40129,43.71879,0.009449006000000001,76.52580666666667,83.34161333333333,100.0
2023-07-08 10:24:30,90.83058666666666,87.63142333333333,83.72441,83.91767666666667,84.34640666666665,84.56204000000001,31.93149,135.95436666666666,0.010669855,92.35459666666667,43.78764666666667,0.009286497333333333,76.42478666666666,83.36607000000001,100.0
2023-07-08 10:25:00,90.8187,87.80954333333334,83.72603,83.91577000000001,84.34519333333333,84.5631,31.913973333333335,136.20123333333333,0.010778362000000001,92.33640666666666,43.85276666666667,0.009278109,76.33119333333335,83.40120333333333,100.0
2023-07-08 10:25:30,90.90733333333333,88.00166666666668,83.71580999999999,83.91700333333333,84.34178666666666,84.53448,31.963739999999998,136.23516666666666,0.010706024,92.40574333333333,43.82234666666667,0.009559628333333332,76.16388,83.44032666666666,100.0
2023-07-08 10:26:00,90.94227333333333,88.22759333333333,83.72265333333333,83.91754999999999,84.33805666666667,84.54826,32.04208,136.20706666666666,0.010814530999999999,92.35997666666667,43.893429999999995,0.009425358,76.30432666666667,83.42790666666666,100.0
2023-07-08 10:26:30,90.92851,88.29549999999999,83.72519666666668,83.91431333333334,84.33659333333334,84.53766,32.09284,136.06023333333331,0.010778362000000001,92.34793333333333,43.90948,0.009469599,75.92370333333334,83.45554666666666,100.0
2023-07-08 10:27:00,91.01027333333333,88.25681,83.71983,83.90734,84.33223666666666,84.54295666666667,32.136163333333336,136.41316666666665,0.010814530999999999,92.36627666666666,43.88018666666667,0.009313966,75.50516333333333,83.44315666666667,100.0
2023-07-08 10:27:30,90.96691666666668,88.31017333333332,83.72385666666668,83.90612666666668,84.33056333333333,84.43259666666667,32.19171333333333,136.22273333333334,0.010814530999999999,92.40993666666667,43.91401666666666,0.009498597,75.46615666666666,83.40850999999999,100.0
2023-07-08 10:28:00,90.98883333333333,88.38152,83.72575333333333,83.90128,84.32251333333333,84.42303999999999,32.28809666666667,136.09246666666667,0.010706024,92.41585,43.88590333333333,0.009276584000000001,75.52761333333333,83.45613333333334,100.0
2023-07-08 10:28:30,90.97569333333334,88.52432666666667,83.71456666666667,83.89680333333334,84.32115666666667,84.42729333333334,32.465106666666664,136.20746666666668,0.0108507,92.38171666666668,43.95212,0.009433746666666666,75.07395,83.46228333333333,100.0
