time,vfd_prod_power,PK-MED-E01-pa,vfd_brine_power,HW1TT21,vfd_sw_power,FT-DES-002_VFD
2023-10-30 12:29:47.166,0.0,7132.0,0.18000000715255737,69.70486450195312,0.6899999976158142,9.839070320129395
2023-10-30 12:29:48.184,0.0,7084.0,0.18000000715255737,69.70486450195312,0.6899999976158142,9.839070320129395
2023-10-30 12:29:49.180,0.0,7084.0,0.18000000715255737,69.70486450195312,0.6899999976158142,9.724499702453613
2023-10-30 12:29:50.173,0.0,7084.0,0.18000000715255737,69.70486450195312,0.6899999976158142,9.724499702453613
2023-10-30 12:29:51.178,0.0,7084.0,0.18000000715255737,69.70486450195312,0.6899999976158142,9.724499702453613
2023-10-30 12:29:52.173,0.0,7084.0,0.18000000715255737,69.70486450195312,0.6899999976158142,9.724499702453613
2023-10-30 12:29:53.175,0.0,7084.0,0.18000000715255737,69.70486450195312,0.6899999976158142,9.724499702453613
2023-10-30 12:29:54.174,0.0,7084.0,0.15000000596046448,69.70486450195312,0.7099999785423279,9.839070320129395
2023-10-30 12:29:55.197,0.0,7053.0,0.18000000715255737,69.64698791503906,0.7099999785423279,9.800880432128906
2023-10-30 12:29:56.182,0.0,7053.0,0.18000000715255737,69.64698791503906,0.7099999785423279,9.800880432128906
2023-10-30 12:29:57.164,0.0,7053.0,0.20000000298023224,69.61805725097656,0.699999988079071,9.762689590454102
2023-10-30 12:29:58.183,0.0,7053.0,0.20000000298023224,69.61805725097656,0.699999988079071,9.762689590454102
2023-10-30 12:29:59.182,0.0,7053.0,0.23999999463558197,69.61805725097656,0.6899999976158142,9.686309814453125
2023-10-30 12:30:00.171,0.0,7053.0,0.23999999463558197,69.61805725097656,0.6899999976158142,9.686309814453125
2023-10-30 12:30:01.166,0.0,7091.0,0.27000001072883606,69.58911895751953,0.7099999785423279,9.800880432128906
2023-10-30 12:30:02.192,0.0,7091.0,0.27000001072883606,69.58911895751953,0.7099999785423279,9.800880432128906
2023-10-30 12:30:03.171,0.0,7091.0,0.25999999046325684,69.58911895751953,0.699999988079071,9.762689590454102
2023-10-30 12:30:04.177,0.0,7091.0,0.25999999046325684,69.58911895751953,0.699999988079071,9.762689590454102
2023-10-30 12:30:05.184,0.0,7091.0,0.25999999046325684,69.61805725097656,0.699999988079071,9.762689590454102
2023-10-30 12:30:06.181,0.0,7091.0,0.27000001072883606,69.61805725097656,0.6600000262260437,9.800880432128906
2023-10-30 12:30:07.184,0.0,7091.0,0.25,69.64698791503906,0.6899999976158142,9.724499702453613
2023-10-30 12:30:08.183,0.0,7207.0,0.25,69.64698791503906,0.6899999976158142,9.724499702453613
2023-10-30 12:30:09.167,0.0,7207.0,0.25,69.64698791503906,0.6700000166893005,9.724499702453613
2023-10-30 12:30:10.177,0.0,7207.0,0.25,69.70486450195312,0.6700000166893005,9.724499702453613
2023-10-30 12:30:11.185,0.0,7207.0,0.23999999463558197,69.70486450195312,0.6600000262260437,9.724499702453613
2023-10-30 12:30:12.184,0.0,7207.0,0.23999999463558197,69.70486450195312,0.6600000262260437,9.724499702453613
2023-10-30 12:30:13.182,0.0,7207.0,0.23000000417232513,69.70486450195312,0.6499999761581421,9.648119926452637
2023-10-30 12:30:14.191,0.0,7177.0,0.23000000417232513,69.70486450195312,0.6499999761581421,9.648119926452637
2023-10-30 12:30:15.173,0.0,7177.0,0.23000000417232513,69.61805725097656,0.6800000071525574,9.648119926452637
2023-10-30 12:30:16.191,0.0,7177.0,0.23000000417232513,69.61805725097656,0.6800000071525574,9.648119926452637
2023-10-30 12:30:17.167,0.0,7177.0,0.20999999344348907,69.58911895751953,0.6600000262260437,9.724499702453613
2023-10-30 12:30:18.190,0.0,7177.0,0.20999999344348907,69.58911895751953,0.6600000262260437,9.724499702453613
2023-10-30 12:30:19.160,0.0,7177.0,0.20999999344348907,69.50231170654297,0.699999988079071,9.686309814453125
2023-10-30 12:30:20.160,0.0,7108.0,0.20999999344348907,69.50231170654297,0.699999988079071,9.686309814453125
2023-10-30 12:30:21.199,0.0,7108.0,0.20999999344348907,69.50231170654297,0.699999988079071,9.724499702453613
