,time,FT-DES-003,PK-MED-E01-pa,vfd_prod_power,PK-MED-E02-pa,FT-DES-002,vfd_sw_power,vfd_brine_power,PK-MED-E03-pa,vfd_sw_out_freq,FT-DES-005,FT-DES-002_VFD
363,2022-11-23 14:57:09,0.011806488037109375,13.0,0.0,8.0,-7.499981880187988,0.065700002014637,0.0,6415.0,49.0,0.00093841552734375,17.438880920410156
364,2022-11-23 14:57:10,0.0121307373046875,13.0,0.0,8.0,-7.499981880187988,0.06459999829530716,0.0,6415.0,49.0,0.00118255615234375,17.438880920410156
365,2022-11-23 14:57:11,0.011806488037109375,13.0,0.0,8.0,-7.4999542236328125,0.06459999829530716,0.0,6415.0,49.0,0.00081634521484375,17.362499237060547
366,2022-11-23 14:57:12,0.011806488037109375,13.0,0.0,8.0,-7.500027179718018,0.06549999862909317,0.0,6415.0,49.0,0.00093841552734375,17.362499237060547
367,2022-11-23 14:57:13,0.011806488037109375,13.0,0.0,8.0,-7.499990940093994,0.06549999862909317,0.0,6418.0,49.0,0.00106048583984375,17.362499237060547
368,2022-11-23 14:57:14,0.011806488037109375,13.0,0.0,8.0,-7.499990940093994,0.06430000066757202,0.0,6418.0,49.0,0.00106048583984375,17.438880920410156
369,2022-11-23 14:57:15,0.011806488037109375,13.0,0.0,8.0,-7.4999542236328125,0.06430000066757202,0.0,6418.0,49.0,0.00081634521484375,17.438880920410156
370,2022-11-23 14:57:16,0.0121307373046875,13.0,0.0,8.0,-7.499963283538818,0.06599999964237213,0.0,6418.0,49.0,0.00093841552734375,17.477069854736328
371,2022-11-23 14:57:17,0.011806488037109375,13.0,0.0,8.0,-7.499963283538818,0.06599999964237213,0.0,6397.0,49.0,0.00081634521484375,17.438880920410156
372,2022-11-23 14:57:18,0.0121307373046875,13.0,0.0,8.0,-7.499945163726807,0.06459999829530716,0.0,6397.0,49.0,0.00106048583984375,17.438880920410156
373,2022-11-23 14:57:19,0.0121307373046875,13.0,0.0,8.0,-7.499963283538818,0.06459999829530716,0.0,6397.0,49.0,0.00106048583984375,17.438880920410156
374,2022-11-23 14:57:20,0.0124359130859375,13.0,0.0,8.0,-7.4999542236328125,0.05400000140070915,0.0,6397.0,43.7400016784668,0.00093841552734375,17.477069854736328
375,2022-11-23 14:57:21,0.011806488037109375,13.0,0.0,8.0,-7.499990940093994,0.05400000140070915,0.0,6411.0,43.7400016784668,0.00093841552734375,17.477069854736328
376,2022-11-23 14:57:22,0.0121307373046875,13.0,0.0,8.0,-7.499963283538818,0.019600000232458115,0.0,6411.0,30.0,0.00106048583984375,14.23091983795166
